Rule ID,Resource ID,Compliance,Exception Reason,Rule Level,Rule Info
"AwsSolutions-VPC7","TaxTables/Vpc/Resource","Compliant","N/A","Error","The VPC does not have an associated Flow Log."
"AwsSolutions-EC23","TaxTables/Vpc/SecretsEndpoint/SecurityGroup/Resource","Suppressed","[] The endpoint security groups' only ingress is allow-from-VPC-CIDR, expressed as a Fn::GetAtt token the rule cannot resolve at synth. The VPC is fully isolated (no IGW, no NAT), so the rule admits intra-VPC traffic only by construction — 0.0.0.0/0 is unrepresentable here.","Error","The Security Group allows for 0.0.0.0/0 or ::/0 inbound access."
"AwsSolutions-EC27","TaxTables/Vpc/SecretsEndpoint/SecurityGroup/Resource","Compliant","N/A","Error","The Security Group does not have a description."
"AwsSolutions-EC23","TaxTables/Vpc/TextractEndpoint/SecurityGroup/Resource","Suppressed","[] The endpoint security groups' only ingress is allow-from-VPC-CIDR, expressed as a Fn::GetAtt token the rule cannot resolve at synth. The VPC is fully isolated (no IGW, no NAT), so the rule admits intra-VPC traffic only by construction — 0.0.0.0/0 is unrepresentable here.","Error","The Security Group allows for 0.0.0.0/0 or ::/0 inbound access."
"AwsSolutions-EC27","TaxTables/Vpc/TextractEndpoint/SecurityGroup/Resource","Compliant","N/A","Error","The Security Group does not have a description."
"AwsSolutions-EC23","TaxTables/Vpc/BedrockEndpoint/SecurityGroup/Resource","Suppressed","[] The endpoint security groups' only ingress is allow-from-VPC-CIDR, expressed as a Fn::GetAtt token the rule cannot resolve at synth. The VPC is fully isolated (no IGW, no NAT), so the rule admits intra-VPC traffic only by construction — 0.0.0.0/0 is unrepresentable here.","Error","The Security Group allows for 0.0.0.0/0 or ::/0 inbound access."
"AwsSolutions-EC27","TaxTables/Vpc/BedrockEndpoint/SecurityGroup/Resource","Compliant","N/A","Error","The Security Group does not have a description."
"AwsSolutions-EC23","TaxTables/Vpc/LogsEndpoint/SecurityGroup/Resource","Suppressed","[] The endpoint security groups' only ingress is allow-from-VPC-CIDR, expressed as a Fn::GetAtt token the rule cannot resolve at synth. The VPC is fully isolated (no IGW, no NAT), so the rule admits intra-VPC traffic only by construction — 0.0.0.0/0 is unrepresentable here.","Error","The Security Group allows for 0.0.0.0/0 or ::/0 inbound access."
"AwsSolutions-EC27","TaxTables/Vpc/LogsEndpoint/SecurityGroup/Resource","Compliant","N/A","Error","The Security Group does not have a description."
"AwsSolutions-EC23","TaxTables/Vpc/StatesEndpoint/SecurityGroup/Resource","Suppressed","[] The endpoint security groups' only ingress is allow-from-VPC-CIDR, expressed as a Fn::GetAtt token the rule cannot resolve at synth. The VPC is fully isolated (no IGW, no NAT), so the rule admits intra-VPC traffic only by construction — 0.0.0.0/0 is unrepresentable here.","Error","The Security Group allows for 0.0.0.0/0 or ::/0 inbound access."
"AwsSolutions-EC27","TaxTables/Vpc/StatesEndpoint/SecurityGroup/Resource","Compliant","N/A","Error","The Security Group does not have a description."
"AwsSolutions-EC23","TaxTables/Vpc/XRayEndpoint/SecurityGroup/Resource","Suppressed","[] The endpoint security groups' only ingress is allow-from-VPC-CIDR, expressed as a Fn::GetAtt token the rule cannot resolve at synth. The VPC is fully isolated (no IGW, no NAT), so the rule admits intra-VPC traffic only by construction — 0.0.0.0/0 is unrepresentable here.","Error","The Security Group allows for 0.0.0.0/0 or ::/0 inbound access."
"AwsSolutions-EC27","TaxTables/Vpc/XRayEndpoint/SecurityGroup/Resource","Compliant","N/A","Error","The Security Group does not have a description."
"AwsSolutions-S1","TaxTables/AccessLogs/Resource","Compliant","N/A","Error","The S3 Bucket has server access logs disabled."
"AwsSolutions-S2","TaxTables/AccessLogs/Resource","Compliant","N/A","Error","The S3 Bucket does not have public access restricted and blocked."
"AwsSolutions-S5","TaxTables/AccessLogs/Resource","Compliant","N/A","Error","The S3 static website bucket either has an open world bucket policy or does not use a CloudFront Origin Access Identity (OAI) in the bucket policy for limited getObject and/or putObject permissions."
"AwsSolutions-S10","TaxTables/AccessLogs/Resource","Compliant","N/A","Error","The S3 Bucket or bucket policy does not require requests to use SSL."
"AwsSolutions-S10","TaxTables/AccessLogs/Policy/Resource","Compliant","N/A","Error","The S3 Bucket or bucket policy does not require requests to use SSL."
"AwsSolutions-S1","TaxTables/Documents/Resource","Compliant","N/A","Error","The S3 Bucket has server access logs disabled."
"AwsSolutions-S2","TaxTables/Documents/Resource","Compliant","N/A","Error","The S3 Bucket does not have public access restricted and blocked."
"AwsSolutions-S5","TaxTables/Documents/Resource","Compliant","N/A","Error","The S3 static website bucket either has an open world bucket policy or does not use a CloudFront Origin Access Identity (OAI) in the bucket policy for limited getObject and/or putObject permissions."
"AwsSolutions-S10","TaxTables/Documents/Resource","Compliant","N/A","Error","The S3 Bucket or bucket policy does not require requests to use SSL."
"AwsSolutions-S10","TaxTables/Documents/Policy/Resource","Compliant","N/A","Error","The S3 Bucket or bucket policy does not require requests to use SSL."
"AwsSolutions-S1","TaxTables/MapRunResults/Resource","Compliant","N/A","Error","The S3 Bucket has server access logs disabled."
"AwsSolutions-S2","TaxTables/MapRunResults/Resource","Compliant","N/A","Error","The S3 Bucket does not have public access restricted and blocked."
